review,word_count,text_length,cluster_label
একেবারেই সাধারণ মানের গল্প। জয়া এইরকম সাধারণ মানের গল্পে অভিনয় করতে পারে ভাবায় যায়না। ওপার বাংলা থেকে ডাক এলেই ধেং ধেং করে যেতে হবে এর কোন মানে নেই।ছিঃ,29,151,1
একজন জাজ কখনোই একজন উকিল এর ব্যাক্তিগত ব্যাপারে সবার সম্মুখে হেও করা কোন ভাবেই ঠিক নয়। এটা পরিচালক এর অদক্ষতার প্রমানও বটে।,22,123,1
অনেক সুন্দর মুভি রিয়ায ভাই এবং সাকিব খান শাবনূর আপু অভিনন্দন তোমাকে,12,68,1
"সিনেমার গল্প মোটামুটি সরল। শুরুতে কিছুটা আকর্ষণ আছে, তবে মাঝের অংশে টেম্পো ধীর মনে হয়েছে। চরিত্রগুলো ঠিক আছে, কিন্তু সব চরিত্রের জন্য যথেষ্ট সময় দেওয়া হয়নি। প্রোডাকশন এবং ভিজ্যুয়াল মান ঠিকঠাক। মিউজিক গল্পের সঙ্গে মানানসই, তবে বিশেষ আবেগ সৃষ্টি করেনি। সংলাপ সাধারণ, মোটামুটি একবার দেখার মতো সিনেমা।",47,302,0
"বেশি ভালো না,,, তবুও দেখলাম,,",5,29,1
"ভালো লাগলো , শাশুড়ি বৌমার হৃদয় বিদারক সংগ্রামের মন ছুঁয়ে যাওয়া গল্প।",11,68,1
ইতিহাসের সেরা মুভীর একটি যা ভারত বা বাংলাদেশে আর কোনদিন হবেনা এমনকি মিঠুন চক্রবর্তী দাদার মতোন সুপার নায়কও একটি আসবেনা তাই নতুন করে আজকে আবারও এই মুভিটি দেখলাম,28,159,1
মদ সিগারেট খাওয়া ভালো কোনদিকে,5,29,1
সিনেমার সংলাপগুলো খুব প্রাঞ্জল ও মজাদার।,6,40,0
"ক্লাইম্যাক্সটা ঠিকঠাক হয়েছে, কিন্তু জোরালো ছিল না।",7,51,0
পুরো সিনেমা জুড়ে কৃত্রিম নাটকীয়তা এত বেশি যে সেগুলো আলাদা করে চোখে লাগে।,13,74,1
গল্পের টার্নিং পয়েন্টগুলি এত সুন্দরভাবে সাজানো হয়েছিল যে উত্তেজনা বজায় ছিল।,11,78,0
সিনেমার সাউন্ড কোয়ালিটি ঠিকঠাক ছিল।,5,35,0
প্রতিটা চরিত্র খুব সুন্দরভাবে গড়ে তোলা হয়েছে।,7,45,0
একদম সময় নষ্ট কেউ দেখবে না এ ধরনের মুভি,9,40,2
থিম দর্শককে কোনো বার্তা দেয়নি।,5,31,0
ক্রঞ্জের থেলায় মরে গেলাম,4,24,1
"গল্পের কাঠামো ঠিক ছিল, কিন্তু চমকপ্রদ না।",7,41,0
সব থেকে বাজে জটায়ু করেছিলেন অনুপকুমার।অত ভালো একজন অভিনেতা আর তার এতো বাজে কাজ।।,15,80,1
গল্পের ক্লাইম্যাক্স মনে রাখার মতো।,5,34,1
সিনেমায় আলাদা করে মন ছুঁয়ে যাওয়া মুহূর্ত না থাকলেও কিছু কিছু দৃশ্য ভালো লেগেছে।,14,79,0
"মূল কনফ্লিক্ট সহজবোধ্য এবং দর্শকের জন্য বোঝা সহজ, কোনো অতিরিক্ত জটিলতা বা নাটকীয়তা নেই।",14,88,0
"একবার দেখার মতো, তবে বারবার দেখতে ইচ্ছে হবে না।",9,47,2
"কিছু দৃশ্য দীর্ঘ, তবে সহনীয়।",5,29,0
"গল্পের ফ্লো পুরো সময় ধরে ধীর এবং নিয়ন্ত্রিত, হঠাৎ উত্তেজনা নেই।",11,65,0
অনেক দিন পর একটা বাংলা ছবি পুরোটা দেখলাম।খুব ভালো লাগলো এবং চোখেও জল এসে গেল।,16,77,2
"সিনেমার কালার টোন শান্ত, চোখে লাগার মতো কিছু নেই।",9,49,0
